starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:23 2023	1682202623	61	501	562	499
Sat Apr 22 17:31:28 2023	1682202688	57	994	1051	588
Sat Apr 22 17:30:06 2023	1682202606	174	932	1105	611
Sat Apr 22 17:31:14 2023	1682202674	69	1042	1111	1041
Sat Apr 22 17:31:28 2023	1682202688	71	1045	1116	645
Sat Apr 22 17:30:12 2023	1682202612	77	1148	1225	941
Sat Apr 22 17:31:28 2023	1682202688	62	1349	1411	1034
Sat Apr 22 17:31:12 2023	1682202672	62	1386	1449	1385
Sat Apr 22 17:31:29 2023	1682202689	67	1400	1467	606
Sat Apr 22 17:31:22 2023	1682202682	58	1453	1511	1277
Sat Apr 22 17:31:12 2023	1682202672	61	1470	1532	808
Sat Apr 22 17:31:27 2023	1682202687	65	1543	1608	1164
Sat Apr 22 17:31:01 2023	1682202661	68	1628	1696	1626
Sat Apr 22 17:31:27 2023	1682202687	66	1634	1700	1229
Sat Apr 22 17:31:28 2023	1682202688	81	1628	1708	886
Sat Apr 22 17:30:07 2023	1682202607	58	1691	1749	552
Sat Apr 22 17:31:13 2023	1682202673	81	1673	1754	480
Sat Apr 22 17:31:28 2023	1682202688	68	1690	1758	667
Sat Apr 22 17:31:27 2023	1682202687	58	1897	1955	580
Sat Apr 22 17:31:28 2023	1682202688	65	1938	2003	1387
Sat Apr 22 17:31:27 2023	1682202687	57	1971	2028	663
Sat Apr 22 17:30:41 2023	1682202641	60	1982	2042	1658
Sat Apr 22 17:31:27 2023	1682202687	70	1994	2064	519
Sat Apr 22 17:31:28 2023	1682202688	97	2051	2147	1287
Sat Apr 22 17:31:27 2023	1682202687	66	2096	2162	639
Sat Apr 22 17:31:29 2023	1682202689	54	2133	2187	1577
Sat Apr 22 17:31:27 2023	1682202687	60	2143	2203	527
Sat Apr 22 17:30:06 2023	1682202606	60	2184	2244	1452
Sat Apr 22 17:31:27 2023	1682202687	74	2178	2252	589
Sat Apr 22 17:31:28 2023	1682202688	62	2191	2254	1626
Sat Apr 22 17:31:11 2023	1682202671	61	2201	2262	1861
Sat Apr 22 17:31:27 2023	1682202687	62	2277	2339	899
Sat Apr 22 17:31:28 2023	1682202688	57	2311	2368	1844
Sat Apr 22 17:30:07 2023	1682202607	62	2319	2381	454
Sat Apr 22 17:30:40 2023	1682202640	86	2298	2384	1251
Sat Apr 22 17:31:28 2023	1682202688	69	2368	2437	1901
Sat Apr 22 17:30:40 2023	1682202640	64	2374	2439	1403
Sat Apr 22 17:31:27 2023	1682202687	59	2393	2453	712
Sat Apr 22 17:31:27 2023	1682202687	65	2392	2457	1222
Sat Apr 22 17:31:28 2023	1682202688	63	2457	2520	969
Sat Apr 22 17:30:07 2023	1682202607	63	2469	2531	469
Sat Apr 22 17:31:27 2023	1682202687	63	2496	2559	2021
Sat Apr 22 17:31:28 2023	1682202688	62	2618	2680	1954
Sat Apr 22 17:31:28 2023	1682202688	72	2619	2691	1947
Sat Apr 22 17:31:27 2023	1682202687	57	2662	2719	1816
Sat Apr 22 17:30:06 2023	1682202606	59	2661	2720	1266
Sat Apr 22 17:30:05 2023	1682202605	56	2698	2754	2066
Sat Apr 22 17:31:27 2023	1682202687	64	2690	2755	705
Sat Apr 22 17:31:26 2023	1682202686	69	2792	2861	663
Sat Apr 22 17:30:37 2023	1682202637	61	2857	2918	2177
Sat Apr 22 17:31:28 2023	1682202688	68	2907	2975	2272
Sat Apr 22 17:30:05 2023	1682202605	64	2947	3011	2551
Sat Apr 22 17:31:26 2023	1682202686	83	2932	3015	2325
Sat Apr 22 17:30:05 2023	1682202605	57	2960	3018	1760
Sat Apr 22 17:30:06 2023	1682202606	61	3040	3101	1390
Sat Apr 22 17:30:06 2023	1682202606	57	3142	3199	1062
Sat Apr 22 17:31:27 2023	1682202687	56	3184	3239	842
Sat Apr 22 17:31:26 2023	1682202686	64	3277	3341	1387
Sat Apr 22 17:31:26 2023	1682202686	59	3290	3349	903
Sat Apr 22 17:31:26 2023	1682202686	91	3294	3385	941
Sat Apr 22 17:31:12 2023	1682202672	58	3336	3394	1884
Sat Apr 22 17:31:26 2023	1682202686	65	3370	3435	444
Sat Apr 22 17:30:05 2023	1682202605	67	3377	3445	2307
Sat Apr 22 17:31:26 2023	1682202686	56	3428	3485	1032
Sat Apr 22 17:31:26 2023	1682202686	65	3441	3507	569
Sat Apr 22 17:31:26 2023	1682202686	68	3450	3518	962
Sat Apr 22 17:30:34 2023	1682202634	101	3539	3641	1741
Sat Apr 22 17:31:26 2023	1682202686	64	3647	3711	635
Sat Apr 22 17:31:11 2023	1682202671	65	3727	3793	728
Sat Apr 22 17:31:25 2023	1682202685	61	3830	3891	546
Sat Apr 22 17:31:11 2023	1682202671	56	3915	3971	672
Sat Apr 22 17:30:06 2023	1682202606	73	3912	3985	1192
Sat Apr 22 17:30:04 2023	1682202604	77	3914	3991	2910
Sat Apr 22 17:31:26 2023	1682202686	63	3958	4021	511
Sat Apr 22 17:30:05 2023	1682202605	57	4008	4064	2124
Sat Apr 22 17:31:11 2023	1682202671	58	4008	4065	477
Sat Apr 22 17:30:04 2023	1682202604	78	4042	4120	3174
Sat Apr 22 17:31:25 2023	1682202685	60	4074	4134	739
Sat Apr 22 17:31:25 2023	1682202685	61	4140	4201	607
Sat Apr 22 17:31:11 2023	1682202671	69	4135	4203	468
Sat Apr 22 17:30:06 2023	1682202606	61	4215	4276	1570
Sat Apr 22 17:31:14 2023	1682202674	63	4251	4314	576
Sat Apr 22 17:31:26 2023	1682202686	65	4275	4340	546
Sat Apr 22 17:30:04 2023	1682202604	58	4319	4377	2988
Sat Apr 22 17:31:26 2023	1682202686	76	4309	4384	1450
Sat Apr 22 17:31:25 2023	1682202685	58	4465	4523	640
Sat Apr 22 17:31:11 2023	1682202671	79	4475	4554	536
Sat Apr 22 17:30:04 2023	1682202604	55	4517	4572	3582
Sat Apr 22 17:31:24 2023	1682202684	59	4524	4583	1204
Sat Apr 22 17:30:07 2023	1682202607	56	4572	4628	543
Sat Apr 22 17:31:25 2023	1682202685	63	4581	4645	483
Sat Apr 22 17:31:11 2023	1682202671	65	4621	4687	480
Sat Apr 22 17:31:25 2023	1682202685	67	4649	4716	669
Sat Apr 22 17:31:25 2023	1682202685	64	4653	4717	1113
Sat Apr 22 17:31:11 2023	1682202671	58	4664	4722	724
Sat Apr 22 17:31:28 2023	1682202688	70	4665	4735	4277
Sat Apr 22 17:31:24 2023	1682202684	60	4679	4739	880
Sat Apr 22 17:31:12 2023	1682202672	57	4683	4740	449
Sat Apr 22 17:31:24 2023	1682202684	64	4692	4756	814
Sat Apr 22 17:31:12 2023	1682202672	58	4721	4779	631
Sat Apr 22 17:31:25 2023	1682202685	62	4744	4806	512
Sat Apr 22 17:30:05 2023	1682202605	68	4758	4825	1632
Sat Apr 22 17:31:12 2023	1682202672	57	4772	4828	751
Sat Apr 22 17:31:24 2023	1682202684	63	4804	4867	1035
Sat Apr 22 17:31:26 2023	1682202686	60	4901	4961	699
Sat Apr 22 17:31:24 2023	1682202684	72	4900	4972	532
Sat Apr 22 17:31:17 2023	1682202677	62	4942	5003	520
Sat Apr 22 17:31:25 2023	1682202685	62	4942	5004	987
Sat Apr 22 17:31:25 2023	1682202685	61	4965	5026	1136
Sat Apr 22 17:31:24 2023	1682202684	81	4982	5064	605
Sat Apr 22 17:31:25 2023	1682202685	63	5037	5100	575
Sat Apr 22 17:31:24 2023	1682202684	84	5050	5134	630
Sat Apr 22 17:31:12 2023	1682202672	58	5082	5140	1126
Sat Apr 22 17:31:24 2023	1682202684	84	5065	5148	750
Sat Apr 22 17:31:12 2023	1682202672	59	5096	5155	674
Sat Apr 22 17:31:12 2023	1682202672	64	5107	5171	937
Sat Apr 22 17:31:13 2023	1682202673	60	5117	5177	579
Sat Apr 22 17:31:23 2023	1682202683	63	5155	5219	684
Sat Apr 22 17:31:09 2023	1682202669	189	5049	5238	1873
Sat Apr 22 17:31:13 2023	1682202673	85	5158	5242	566
Sat Apr 22 17:31:23 2023	1682202683	55	5221	5275	749
Sat Apr 22 17:31:13 2023	1682202673	63	5213	5276	553
Sat Apr 22 17:31:26 2023	1682202686	77	5204	5281	639
Sat Apr 22 17:30:34 2023	1682202634	69	5214	5283	516
Sat Apr 22 17:31:13 2023	1682202673	59	5224	5283	744
Sat Apr 22 17:31:25 2023	1682202685	62	5230	5293	762
Sat Apr 22 17:31:25 2023	1682202685	93	5203	5296	892
Sat Apr 22 17:31:23 2023	1682202683	57	5275	5332	512
Sat Apr 22 17:31:13 2023	1682202673	60	5274	5334	864
Sat Apr 22 17:31:12 2023	1682202672	58	5286	5344	1387
Sat Apr 22 17:30:37 2023	1682202637	60	5289	5349	4387
Sat Apr 22 17:31:11 2023	1682202671	73	5280	5354	1447
Sat Apr 22 17:30:34 2023	1682202634	77	5281	5358	649
Sat Apr 22 17:30:04 2023	1682202604	55	5320	5375	2791
Sat Apr 22 17:31:23 2023	1682202683	60	5333	5394	657
Sat Apr 22 17:31:13 2023	1682202673	71	5349	5420	1058
Sat Apr 22 17:31:09 2023	1682202669	63	5371	5434	2253
Sat Apr 22 17:31:25 2023	1682202685	71	5366	5437	1063
Sat Apr 22 17:31:23 2023	1682202683	63	5395	5457	632
Sat Apr 22 17:30:03 2023	1682202603	56	5418	5474	3700
Sat Apr 22 17:30:34 2023	1682202634	113	5369	5481	793
Sat Apr 22 17:31:11 2023	1682202671	72	5426	5498	1652
Sat Apr 22 17:31:13 2023	1682202673	63	5442	5506	742
Sat Apr 22 17:31:23 2023	1682202683	62	5459	5522	696
Sat Apr 22 17:31:25 2023	1682202685	76	5447	5523	986
Sat Apr 22 17:31:09 2023	1682202669	92	5459	5551	2064
Sat Apr 22 17:31:23 2023	1682202683	62	5521	5584	614
Sat Apr 22 17:30:35 2023	1682202635	62	5529	5591	473
Sat Apr 22 17:30:05 2023	1682202605	60	5561	5621	2491
Sat Apr 22 17:31:23 2023	1682202683	67	5583	5650	604
Sat Apr 22 17:30:35 2023	1682202635	57	5612	5669	562
Sat Apr 22 17:30:03 2023	1682202603	58	5633	5691	4377
Sat Apr 22 17:31:24 2023	1682202684	59	5631	5691	579
Sat Apr 22 17:31:03 2023	1682202663	53	5646	5699	794
Sat Apr 22 17:30:35 2023	1682202635	58	5645	5703	657
Sat Apr 22 17:31:14 2023	1682202674	87	5619	5706	487
Sat Apr 22 17:31:23 2023	1682202683	59	5649	5707	498
Sat Apr 22 17:31:14 2023	1682202674	175	5540	5716	783
Sat Apr 22 17:31:02 2023	1682202662	80	5641	5721	1255
Sat Apr 22 17:31:24 2023	1682202684	89	5644	5733	943
Sat Apr 22 17:30:35 2023	1682202635	71	5671	5742	835
Sat Apr 22 17:31:14 2023	1682202674	55	5689	5744	529
Sat Apr 22 17:30:05 2023	1682202605	56	5693	5749	2435
Sat Apr 22 17:30:18 2023	1682202618	60	5695	5755	924
Sat Apr 22 17:31:12 2023	1682202672	58	5704	5762	1424
Sat Apr 22 17:31:23 2023	1682202683	58	5704	5763	558
Sat Apr 22 17:31:08 2023	1682202668	90	5682	5772	1002
Sat Apr 22 17:30:17 2023	1682202617	64	5740	5804	1334
Sat Apr 22 17:31:14 2023	1682202674	64	5746	5809	645
Sat Apr 22 17:31:04 2023	1682202664	61	5761	5822	513
Sat Apr 22 17:31:09 2023	1682202669	448	5375	5823	2317
Sat Apr 22 17:31:23 2023	1682202683	61	5764	5825	616
Sat Apr 22 17:31:11 2023	1682202671	57	5769	5826	2062
Sat Apr 22 17:30:29 2023	1682202629	61	5767	5828	503
Sat Apr 22 17:31:02 2023	1682202662	77	5763	5840	1548
Sat Apr 22 17:30:35 2023	1682202635	56	5785	5841	600
Sat Apr 22 17:30:31 2023	1682202631	85	5776	5860	5775
Sat Apr 22 17:31:02 2023	1682202662	55	5811	5866	1486
Sat Apr 22 17:31:03 2023	1682202663	79	5790	5869	556
Sat Apr 22 17:30:19 2023	1682202619	58	5821	5879	464
Sat Apr 22 17:31:15 2023	1682202675	58	5824	5882	516
Sat Apr 22 17:31:15 2023	1682202675	58	5830	5888	619
Sat Apr 22 17:30:19 2023	1682202619	60	5831	5891	467
Sat Apr 22 17:31:23 2023	1682202683	67	5825	5892	614
Sat Apr 22 17:30:29 2023	1682202629	71	5829	5899	621
Sat Apr 22 17:31:12 2023	1682202672	69	5836	5906	1352
Sat Apr 22 17:31:01 2023	1682202661	67	5840	5907	1848
Sat Apr 22 17:31:01 2023	1682202661	151	5761	5912	1696
Sat Apr 22 17:31:09 2023	1682202669	109	5804	5913	2641
Sat Apr 22 17:31:23 2023	1682202683	60	5893	5953	507
Sat Apr 22 17:30:04 2023	1682202604	59	5930	5989	3522
Sat Apr 22 17:30:30 2023	1682202630	70	5923	5994	579
Sat Apr 22 17:31:01 2023	1682202661	181	5817	5997	1917
Sat Apr 22 17:31:23 2023	1682202683	56	5954	6010	567
Sat Apr 22 17:30:29 2023	1682202629	57	5956	6013	565
Sat Apr 22 17:30:29 2023	1682202629	64	5964	6027	578
Sat Apr 22 17:30:29 2023	1682202629	62	5973	6035	516
Sat Apr 22 17:30:30 2023	1682202630	63	5977	6040	535
Sat Apr 22 17:31:19 2023	1682202679	58	5987	6045	411
Sat Apr 22 17:30:18 2023	1682202618	60	5991	6051	1211
Sat Apr 22 17:31:19 2023	1682202679	56	6000	6056	418
Sat Apr 22 17:30:06 2023	1682202606	57	6004	6061	1513
Sat Apr 22 17:31:15 2023	1682202675	57	6012	6070	797
Sat Apr 22 17:31:23 2023	1682202683	61	6010	6072	625
Sat Apr 22 17:31:24 2023	1682202684	70	6010	6080	1548
Sat Apr 22 17:30:36 2023	1682202636	68	6039	6107	689
Sat Apr 22 17:31:23 2023	1682202683	53	6073	6126	686
Sat Apr 22 17:31:07 2023	1682202667	69	6072	6141	785
Sat Apr 22 17:30:18 2023	1682202618	67	6076	6143	918
Sat Apr 22 17:31:24 2023	1682202684	69	6089	6157	1621
Sat Apr 22 17:31:19 2023	1682202679	68	6107	6174	829
Sat Apr 22 17:30:17 2023	1682202617	84	6101	6185	962
Sat Apr 22 17:30:18 2023	1682202618	67	6122	6190	1046
Sat Apr 22 17:31:22 2023	1682202682	68	6127	6195	740
Sat Apr 22 17:30:19 2023	1682202619	68	6130	6198	1052
Sat Apr 22 17:30:30 2023	1682202630	53	6169	6223	614
Sat Apr 22 17:30:59 2023	1682202659	97	6126	6223	2301
Sat Apr 22 17:31:20 2023	1682202680	56	6179	6235	633
Sat Apr 22 17:31:20 2023	1682202680	73	6162	6236	559
Sat Apr 22 17:31:19 2023	1682202679	60	6176	6236	960
Sat Apr 22 17:30:29 2023	1682202629	60	6186	6246	457
Sat Apr 22 17:31:15 2023	1682202675	76	6179	6254	544
Sat Apr 22 17:31:15 2023	1682202675	83	6196	6278	622
Sat Apr 22 17:30:30 2023	1682202630	66	6217	6283	728
Sat Apr 22 17:31:19 2023	1682202679	85	6198	6284	1047
Sat Apr 22 17:31:19 2023	1682202679	66	6227	6293	1138
Sat Apr 22 17:30:05 2023	1682202605	55	6243	6298	2617
Sat Apr 22 17:31:19 2023	1682202679	79	6243	6322	756
Sat Apr 22 17:31:15 2023	1682202675	102	6221	6323	705
Sat Apr 22 17:31:18 2023	1682202678	66	6257	6323	619
Sat Apr 22 17:31:15 2023	1682202675	60	6267	6327	881
Sat Apr 22 17:31:15 2023	1682202675	70	6257	6327	811
Sat Apr 22 17:31:10 2023	1682202670	611	5717	6328	1836
Sat Apr 22 17:31:18 2023	1682202678	58	6288	6346	679
Sat Apr 22 17:31:10 2023	1682202670	99	6258	6357	2607
Sat Apr 22 17:31:15 2023	1682202675	89	6270	6359	942
Sat Apr 22 17:30:05 2023	1682202605	58	6303	6360	1948
Sat Apr 22 17:31:19 2023	1682202679	62	6298	6360	1274
Sat Apr 22 17:31:19 2023	1682202679	58	6306	6364	712
Sat Apr 22 17:30:30 2023	1682202630	65	6306	6371	446
Sat Apr 22 17:31:20 2023	1682202680	58	6316	6374	507
Sat Apr 22 17:30:29 2023	1682202629	62	6313	6375	993
Sat Apr 22 17:31:18 2023	1682202678	56	6319	6375	1262
Sat Apr 22 17:31:24 2023	1682202684	81	6302	6383	777
Sat Apr 22 17:31:22 2023	1682202682	103	6280	6383	1676
Sat Apr 22 17:30:31 2023	1682202631	60	6331	6392	641
Sat Apr 22 17:31:14 2023	1682202674	62	6339	6401	1267
Sat Apr 22 17:31:13 2023	1682202673	62	6341	6403	1330
Sat Apr 22 17:31:13 2023	1682202673	60	6348	6408	1394
Sat Apr 22 17:31:21 2023	1682202681	58	6353	6410	565
Sat Apr 22 17:31:18 2023	1682202678	123	6289	6412	1138
Sat Apr 22 17:30:07 2023	1682202607	56	6369	6426	543
Sat Apr 22 17:31:15 2023	1682202675	67	6361	6428	1095
Sat Apr 22 17:31:20 2023	1682202680	57	6381	6438	482
Sat Apr 22 17:30:31 2023	1682202631	69	6372	6441	675
Sat Apr 22 17:31:22 2023	1682202682	62	6383	6445	1620
Sat Apr 22 17:31:20 2023	1682202680	61	6385	6446	506
Sat Apr 22 17:31:20 2023	1682202680	58	6390	6448	568
Sat Apr 22 17:31:20 2023	1682202680	55	6397	6452	615
Sat Apr 22 17:31:20 2023	1682202680	73	6381	6454	539
Sat Apr 22 17:31:20 2023	1682202680	66	6397	6463	492
Sat Apr 22 17:31:21 2023	1682202681	68	6397	6466	681
Sat Apr 22 17:31:20 2023	1682202680	55	6412	6467	689
Sat Apr 22 17:30:04 2023	1682202604	63	6409	6472	2846
Sat Apr 22 17:31:21 2023	1682202681	56	6429	6485	492
Sat Apr 22 17:31:21 2023	1682202681	62	6434	6495	561
Sat Apr 22 17:31:21 2023	1682202681	60	6438	6498	500
Sat Apr 22 17:31:21 2023	1682202681	80	6421	6502	551
Sat Apr 22 17:31:21 2023	1682202681	58	6446	6504	811
Sat Apr 22 17:30:31 2023	1682202631	61	6444	6505	452
Sat Apr 22 17:30:33 2023	1682202633	293	6212	6505	1460
Sat Apr 22 17:31:22 2023	1682202682	81	6438	6519	1051
Sat Apr 22 17:30:30 2023	1682202630	68	6452	6520	664
Sat Apr 22 17:30:30 2023	1682202630	80	6442	6522	582
Sat Apr 22 17:31:13 2023	1682202673	63	6461	6524	1791
Sat Apr 22 17:31:14 2023	1682202674	68	6456	6525	1420
Sat Apr 22 17:31:21 2023	1682202681	62	6463	6526	718
Sat Apr 22 17:31:21 2023	1682202681	82	6445	6526	633
Sat Apr 22 17:31:12 2023	1682202672	60	6466	6526	1835
Sat Apr 22 17:31:15 2023	1682202675	86	6448	6534	559
Sat Apr 22 17:30:03 2023	1682202603	55	6484	6539	4260
Sat Apr 22 17:31:15 2023	1682202675	81	6479	6560	647
Sat Apr 22 17:31:20 2023	1682202680	61	6501	6562	814
Sat Apr 22 17:31:15 2023	1682202675	59	6504	6563	730
Sat Apr 22 17:31:21 2023	1682202681	62	6513	6575	903
Sat Apr 22 17:31:19 2023	1682202679	64	6512	6575	982
Sat Apr 22 17:31:18 2023	1682202678	61	6515	6576	700
Sat Apr 22 17:31:21 2023	1682202681	58	6524	6582	844
Sat Apr 22 17:30:08 2023	1682202608	98	6488	6586	599
Sat Apr 22 17:30:36 2023	1682202636	57	6533	6590	687
Sat Apr 22 17:30:35 2023	1682202635	65	6528	6593	1244
Sat Apr 22 17:31:20 2023	1682202680	65	6530	6594	437
Sat Apr 22 17:30:58 2023	1682202658	60	6542	6602	1549
Sat Apr 22 17:31:22 2023	1682202682	82	6520	6602	1134
Sat Apr 22 17:31:07 2023	1682202667	58	6547	6605	1743
Sat Apr 22 17:30:58 2023	1682202658	54	6554	6609	1494
Sat Apr 22 17:30:08 2023	1682202608	89	6522	6611	700
Sat Apr 22 17:31:17 2023	1682202677	69	6546	6615	560
Sat Apr 22 17:30:02 2023	1682202602	58	6560	6618	4745
Sat Apr 22 17:30:29 2023	1682202629	58	6560	6618	1178
Sat Apr 22 17:30:35 2023	1682202635	93	6525	6618	1312
Sat Apr 22 17:30:08 2023	1682202608	67	6552	6619	523
Sat Apr 22 17:31:18 2023	1682202678	71	6550	6621	1015
Sat Apr 22 17:30:08 2023	1682202608	65	6562	6626	793
Sat Apr 22 17:30:08 2023	1682202608	75	6553	6628	716
Sat Apr 22 17:30:07 2023	1682202607	73	6561	6634	859
Sat Apr 22 17:30:07 2023	1682202607	58	6578	6636	528
Sat Apr 22 17:31:20 2023	1682202680	59	6577	6636	819
Sat Apr 22 17:30:04 2023	1682202604	63	6575	6638	3253
Sat Apr 22 17:31:16 2023	1682202676	63	6576	6639	700
Sat Apr 22 17:31:17 2023	1682202677	60	6580	6640	607
Sat Apr 22 17:31:17 2023	1682202677	56	6588	6643	582
Sat Apr 22 17:31:16 2023	1682202676	62	6581	6643	637
Sat Apr 22 17:31:16 2023	1682202676	63	6580	6643	763
Sat Apr 22 17:31:16 2023	1682202676	62	6586	6648	827
Sat Apr 22 17:31:17 2023	1682202677	58	6591	6649	543
Sat Apr 22 17:31:17 2023	1682202677	58	6594	6652	694
Sat Apr 22 17:31:16 2023	1682202676	68	6585	6652	890
Sat Apr 22 17:31:17 2023	1682202677	58	6596	6654	668
Sat Apr 22 17:30:01 2023	1682202601	120	6536	6656	5745
Sat Apr 22 17:31:17 2023	1682202677	65	6591	6656	602
Sat Apr 22 17:31:16 2023	1682202676	72	6586	6658	958
Sat Apr 22 17:31:14 2023	1682202674	57	6602	6659	1396
Sat Apr 22 17:31:07 2023	1682202667	63	6598	6661	1856
Sat Apr 22 17:31:22 2023	1682202682	59	6603	6662	1218
Sat Apr 22 17:31:16 2023	1682202676	67	6600	6666	1033
Sat Apr 22 17:31:16 2023	1682202676	59	6609	6669	1161
Sat Apr 22 17:31:16 2023	1682202676	61	6609	6670	1100
Sat Apr 22 17:31:16 2023	1682202676	55	6616	6671	1222
Sat Apr 22 17:31:19 2023	1682202679	61	6611	6672	836
Sat Apr 22 17:31:02 2023	1682202662	85	6587	6672	1624
Sat Apr 22 17:30:17 2023	1682202617	245	6439	6684	2001
Sat Apr 22 17:30:07 2023	1682202607	68	6625	6693	604
Sat Apr 22 17:30:08 2023	1682202608	56	6639	6695	542
Sat Apr 22 17:30:08 2023	1682202608	66	6630	6696	519
Sat Apr 22 17:30:08 2023	1682202608	68	6630	6697	647
Sat Apr 22 17:31:17 2023	1682202677	79	6622	6701	731
Sat Apr 22 17:30:03 2023	1682202603	62	6641	6703	3637
Sat Apr 22 17:31:22 2023	1682202682	62	6643	6705	1511
Sat Apr 22 17:31:22 2023	1682202682	57	6653	6710	1335
Sat Apr 22 17:31:22 2023	1682202682	62	6648	6711	1449
Sat Apr 22 17:31:22 2023	1682202682	55	6656	6711	1393
Sat Apr 22 17:30:58 2023	1682202658	72	6640	6712	538
Sat Apr 22 17:31:17 2023	1682202677	69	6647	6715	904
Sat Apr 22 17:31:22 2023	1682202682	71	6648	6720	1574
Sat Apr 22 17:31:22 2023	1682202682	66	6655	6721	1713
Sat Apr 22 17:31:22 2023	1682202682	64	6659	6723	1647
Sat Apr 22 17:31:17 2023	1682202677	79	6647	6726	526
Sat Apr 22 17:31:04 2023	1682202664	68	6662	6730	513
Sat Apr 22 17:31:16 2023	1682202676	88	6645	6733	1500
Sat Apr 22 17:31:16 2023	1682202676	74	6668	6742	1344
Sat Apr 22 17:31:16 2023	1682202676	81	6666	6747	1418
Sat Apr 22 17:30:58 2023	1682202658	61	6689	6749	1765
Sat Apr 22 17:31:17 2023	1682202677	62	6698	6760	500
Sat Apr 22 17:30:08 2023	1682202608	75	6686	6761	654
Sat Apr 22 17:30:08 2023	1682202608	60	6704	6764	614
Sat Apr 22 17:31:17 2023	1682202677	61	6703	6764	474
Sat Apr 22 17:31:21 2023	1682202681	59	6708	6766	1839
