starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:15 2023	1682202615	76	8033	8109	2974
Sat Apr 22 17:30:14 2023	1682202614	79	8031	8110	691
Sat Apr 22 17:31:03 2023	1682202663	65	8049	8114	2133
Sat Apr 22 17:30:02 2023	1682202602	60	8069	8130	5233
Sat Apr 22 17:30:12 2023	1682202612	59	8088	8146	818
Sat Apr 22 17:30:12 2023	1682202612	64	8087	8152	877
Sat Apr 22 17:30:51 2023	1682202651	60	8109	8169	1100
Sat Apr 22 17:30:13 2023	1682202613	68	8106	8174	811
Sat Apr 22 17:30:34 2023	1682202634	69	8112	8181	3153
Sat Apr 22 17:30:11 2023	1682202611	62	8119	8181	733
Sat Apr 22 17:30:11 2023	1682202611	60	8123	8183	607
Sat Apr 22 17:30:11 2023	1682202611	73	8114	8187	795
Sat Apr 22 17:30:11 2023	1682202611	65	8123	8188	668
Sat Apr 22 17:30:15 2023	1682202615	78	8113	8190	1158
Sat Apr 22 17:30:11 2023	1682202611	64	8128	8192	870
Sat Apr 22 17:30:11 2023	1682202611	57	8135	8192	549
Sat Apr 22 17:30:31 2023	1682202631	63	8130	8194	3424
Sat Apr 22 17:30:11 2023	1682202611	65	8132	8197	801
Sat Apr 22 17:30:36 2023	1682202636	63	8135	8198	1443
Sat Apr 22 17:30:10 2023	1682202610	57	8141	8198	916
Sat Apr 22 17:30:13 2023	1682202613	81	8118	8199	816
Sat Apr 22 17:30:10 2023	1682202610	64	8136	8200	854
Sat Apr 22 17:30:09 2023	1682202609	57	8144	8201	907
Sat Apr 22 17:30:10 2023	1682202610	55	8147	8202	921
Sat Apr 22 17:30:11 2023	1682202611	64	8144	8208	556
Sat Apr 22 17:30:12 2023	1682202612	68	8141	8209	901
Sat Apr 22 17:30:12 2023	1682202612	57	8156	8213	1036
Sat Apr 22 17:30:12 2023	1682202612	66	8147	8213	968
Sat Apr 22 17:30:40 2023	1682202640	56	8164	8220	1239
Sat Apr 22 17:30:14 2023	1682202614	66	8163	8229	762
Sat Apr 22 17:30:12 2023	1682202612	59	8174	8233	1020
Sat Apr 22 17:30:12 2023	1682202612	59	8179	8238	798
Sat Apr 22 17:30:12 2023	1682202612	67	8175	8241	1081
Sat Apr 22 17:30:02 2023	1682202602	59	8184	8243	4685
Sat Apr 22 17:30:11 2023	1682202611	66	8187	8253	1059
Sat Apr 22 17:31:03 2023	1682202663	70	8186	8256	1759
Sat Apr 22 17:30:04 2023	1682202604	61	8204	8265	3047
Sat Apr 22 17:30:03 2023	1682202603	63	8203	8265	4436
Sat Apr 22 17:30:11 2023	1682202611	74	8194	8268	1127
Sat Apr 22 17:30:11 2023	1682202611	67	8202	8269	1203
Sat Apr 22 17:30:06 2023	1682202606	64	8207	8271	2466
Sat Apr 22 17:30:39 2023	1682202639	69	8218	8287	1340
Sat Apr 22 17:30:39 2023	1682202639	61	8228	8289	1368
Sat Apr 22 17:30:12 2023	1682202612	68	8237	8305	922
Sat Apr 22 17:30:15 2023	1682202615	64	8242	8306	3976
Sat Apr 22 17:30:12 2023	1682202612	71	8237	8309	991
Sat Apr 22 17:31:05 2023	1682202665	65	8246	8312	3382
Sat Apr 22 17:30:05 2023	1682202605	61	8254	8314	2006
Sat Apr 22 17:30:11 2023	1682202611	66	8250	8315	1267
Sat Apr 22 17:30:12 2023	1682202612	73	8245	8318	1195
Sat Apr 22 17:30:12 2023	1682202612	67	8253	8320	1064
Sat Apr 22 17:30:12 2023	1682202612	62	8259	8320	1132
Sat Apr 22 17:30:10 2023	1682202610	60	8272	8332	1250
Sat Apr 22 17:30:32 2023	1682202632	81	8254	8335	3362
Sat Apr 22 17:30:05 2023	1682202605	58	8284	8342	2376
Sat Apr 22 17:30:52 2023	1682202652	61	8293	8354	1108
Sat Apr 22 17:30:08 2023	1682202608	72	8282	8354	1568
Sat Apr 22 17:30:05 2023	1682202605	68	8298	8366	2238
Sat Apr 22 17:30:46 2023	1682202646	60	8309	8368	637
Sat Apr 22 17:30:26 2023	1682202626	71	8310	8381	3162
Sat Apr 22 17:30:37 2023	1682202637	73	8351	8424	1106
Sat Apr 22 17:31:17 2023	1682202677	64	8365	8429	3153
Sat Apr 22 17:30:14 2023	1682202614	67	8369	8437	608
Sat Apr 22 17:30:13 2023	1682202613	63	8391	8453	1175
Sat Apr 22 17:30:13 2023	1682202613	67	8389	8456	1106
Sat Apr 22 17:30:28 2023	1682202628	67	8390	8456	2970
Sat Apr 22 17:30:13 2023	1682202613	84	8380	8464	1374
Sat Apr 22 17:30:47 2023	1682202647	62	8428	8489	606
Sat Apr 22 17:30:06 2023	1682202606	71	8419	8490	2449
Sat Apr 22 17:30:15 2023	1682202615	125	8385	8509	3693
Sat Apr 22 17:30:36 2023	1682202636	63	8454	8516	1942
Sat Apr 22 17:30:29 2023	1682202629	90	8434	8525	2705
Sat Apr 22 17:30:38 2023	1682202638	160	8383	8543	1030
Sat Apr 22 17:30:04 2023	1682202604	70	8481	8551	3384
Sat Apr 22 17:30:46 2023	1682202646	167	8403	8570	585
Sat Apr 22 17:30:52 2023	1682202652	61	8531	8593	747
Sat Apr 22 17:30:12 2023	1682202612	62	8540	8603	1413
Sat Apr 22 17:30:52 2023	1682202652	59	8553	8612	991
Sat Apr 22 17:31:11 2023	1682202671	108	8522	8630	3915
Sat Apr 22 17:30:51 2023	1682202651	60	8570	8631	1470
Sat Apr 22 17:30:14 2023	1682202614	55	8576	8631	1570
Sat Apr 22 17:30:27 2023	1682202627	96	8538	8634	3191
Sat Apr 22 17:31:08 2023	1682202668	70	8569	8639	5035
Sat Apr 22 17:30:06 2023	1682202606	86	8561	8647	2598
Sat Apr 22 17:30:39 2023	1682202639	56	8599	8655	1647
Sat Apr 22 17:31:09 2023	1682202669	69	8592	8661	4380
Sat Apr 22 17:30:31 2023	1682202631	56	8615	8671	3766
Sat Apr 22 17:31:08 2023	1682202668	104	8577	8681	5106
Sat Apr 22 17:31:04 2023	1682202664	59	8627	8686	3788
